job_id,consum_id,quantity_used
JB_ID10561,C_ID1046,1
JB_ID10922,C_ID1047,4
JB_ID11218,C_ID1014,3
JB_ID10507,C_ID1029,1
JB_ID10743,C_ID1042,2
JB_ID11044,C_ID1046,1
JB_ID10257,C_ID1049,1
JB_ID10595,C_ID1037,7
JB_ID11428,C_ID1011,4
JB_ID10738,C_ID1043,6
JB_ID10042,C_ID1044,3
JB_ID10766,C_ID1002,4
JB_ID10953,C_ID1034,4
JB_ID11082,C_ID1015,1
JB_ID10964,C_ID1041,5
JB_ID10283,C_ID1042,1
JB_ID10472,C_ID1012,5
JB_ID11243,C_ID1015,1
JB_ID10481,C_ID1036,4
JB_ID10645,C_ID1041,3
JB_ID11332,C_ID1017,3
JB_ID10100,C_ID1044,6
JB_ID10075,C_ID1047,6
JB_ID11077,C_ID1031,1
JB_ID10168,C_ID1029,3
JB_ID10041,C_ID1012,7
JB_ID11060,C_ID1043,2
JB_ID11005,C_ID1046,6
JB_ID10303,C_ID1045,5
JB_ID11353,C_ID1023,3
JB_ID11446,C_ID1041,5
JB_ID10391,C_ID1028,1
JB_ID10571,C_ID1014,4
JB_ID11057,C_ID1025,2
JB_ID10929,C_ID1043,3
JB_ID11029,C_ID1032,3
JB_ID11008,C_ID1046,7
JB_ID11271,C_ID1048,2
JB_ID11047,C_ID1010,1
JB_ID10313,C_ID1020,7
JB_ID10366,C_ID1042,3
JB_ID11005,C_ID1045,5
JB_ID10838,C_ID1032,7
JB_ID10784,C_ID1043,1
JB_ID10824,C_ID1045,2
JB_ID10680,C_ID1051,2
JB_ID10797,C_ID1044,6
JB_ID11040,C_ID1046,4
JB_ID10504,C_ID1029,2
JB_ID10428,C_ID1004,2
JB_ID10880,C_ID1042,5
JB_ID11401,C_ID1016,2
JB_ID10553,C_ID1021,1
JB_ID10718,C_ID1031,1
JB_ID10989,C_ID1040,6
JB_ID11382,C_ID1012,1
JB_ID10112,C_ID1036,4
JB_ID10630,C_ID1026,4
JB_ID11060,C_ID1024,3
JB_ID11069,C_ID1007,7
JB_ID11201,C_ID1051,6
JB_ID10303,C_ID1037,6
JB_ID10535,C_ID1009,4
JB_ID11143,C_ID1007,3
JB_ID11448,C_ID1015,1
JB_ID10529,C_ID1036,5
JB_ID11255,C_ID1029,7
JB_ID11455,C_ID1016,2
JB_ID10042,C_ID1022,5
JB_ID10272,C_ID1006,4
JB_ID11092,C_ID1009,6
JB_ID11327,C_ID1044,1
JB_ID10766,C_ID1022,7
JB_ID10766,C_ID1004,2
JB_ID11062,C_ID1028,2
JB_ID11286,C_ID1022,3
JB_ID10203,C_ID1046,5
JB_ID10364,C_ID1007,3
JB_ID11437,C_ID1031,1
JB_ID10436,C_ID1047,5
JB_ID10909,C_ID1016,6
JB_ID10305,C_ID1004,1
JB_ID10696,C_ID1017,4
JB_ID10956,C_ID1023,2
JB_ID10976,C_ID1031,1
JB_ID11423,C_ID1026,2
JB_ID10092,C_ID1048,1
JB_ID11382,C_ID1004,3
JB_ID10862,C_ID1003,2
JB_ID10622,C_ID1038,5
JB_ID10514,C_ID1010,1
JB_ID11083,C_ID1035,1
JB_ID10210,C_ID1030,4
JB_ID10370,C_ID1019,7
JB_ID11369,C_ID1028,7
JB_ID10852,C_ID1024,3
JB_ID10713,C_ID1021,2
JB_ID11115,C_ID1010,1
JB_ID10909,C_ID1039,1
JB_ID10966,C_ID1024,6
JB_ID10073,C_ID1002,2
JB_ID10947,C_ID1004,3
JB_ID10036,C_ID1034,4
JB_ID10552,C_ID1025,5
JB_ID11069,C_ID1049,7
JB_ID10428,C_ID1007,3
JB_ID10356,C_ID1040,6
JB_ID10110,C_ID1016,6
JB_ID10994,C_ID1044,3
JB_ID10198,C_ID1041,5
JB_ID10048,C_ID1004,4
JB_ID10721,C_ID1031,1
JB_ID10733,C_ID1043,4
JB_ID10627,C_ID1017,4
JB_ID10135,C_ID1034,7
JB_ID10350,C_ID1049,5
JB_ID10472,C_ID1032,5
JB_ID11384,C_ID1035,6
JB_ID11191,C_ID1013,3
JB_ID10446,C_ID1027,7
JB_ID10344,C_ID1011,5
JB_ID10833,C_ID1016,3
JB_ID10475,C_ID1031,1
JB_ID11303,C_ID1037,1
JB_ID10772,C_ID1045,5
JB_ID11083,C_ID1044,7
JB_ID11393,C_ID1024,4
JB_ID10254,C_ID1035,7
JB_ID10899,C_ID1030,3
JB_ID11080,C_ID1045,3
JB_ID11384,C_ID1019,1
JB_ID11387,C_ID1034,5
JB_ID10776,C_ID1028,5
JB_ID10048,C_ID1023,4
JB_ID11226,C_ID1032,5
JB_ID10040,C_ID1050,7
JB_ID10854,C_ID1012,2
JB_ID10256,C_ID1002,6
JB_ID11459,C_ID1007,6
JB_ID10975,C_ID1024,5
JB_ID10798,C_ID1027,1
JB_ID10833,C_ID1043,6
JB_ID10814,C_ID1037,5
JB_ID10037,C_ID1045,7
JB_ID10763,C_ID1045,7
JB_ID10997,C_ID1023,5
JB_ID11461,C_ID1043,5
JB_ID11292,C_ID1042,6
JB_ID11027,C_ID1021,4
JB_ID10927,C_ID1021,2
JB_ID11210,C_ID1027,2
JB_ID10439,C_ID1029,2
JB_ID10715,C_ID1050,4
JB_ID10308,C_ID1005,1
JB_ID10195,C_ID1016,7
JB_ID11051,C_ID1043,5
JB_ID10748,C_ID1049,2
JB_ID11208,C_ID1030,1
JB_ID10676,C_ID1013,5
JB_ID11343,C_ID1040,7
JB_ID11008,C_ID1014,4
JB_ID10833,C_ID1023,2
JB_ID10192,C_ID1044,6
JB_ID10833,C_ID1005,2
JB_ID10055,C_ID1011,3
JB_ID11048,C_ID1039,4
JB_ID10433,C_ID1018,1
JB_ID10041,C_ID1010,1
JB_ID10554,C_ID1043,6
JB_ID10829,C_ID1015,1
JB_ID11173,C_ID1042,3
JB_ID11143,C_ID1042,3
JB_ID10955,C_ID1004,1
JB_ID10642,C_ID1029,1
JB_ID10428,C_ID1036,3
JB_ID10100,C_ID1051,2
JB_ID11341,C_ID1036,4
JB_ID10366,C_ID1027,6
JB_ID11367,C_ID1029,2
JB_ID10769,C_ID1014,4
JB_ID11418,C_ID1041,3
JB_ID11155,C_ID1022,6
JB_ID11367,C_ID1010,1
JB_ID10162,C_ID1027,2
JB_ID10195,C_ID1025,2
JB_ID11107,C_ID1013,6
JB_ID10997,C_ID1018,6
JB_ID10480,C_ID1007,7
JB_ID11088,C_ID1028,5
JB_ID11421,C_ID1030,7
JB_ID10272,C_ID1037,3
JB_ID10303,C_ID1002,1
JB_ID10462,C_ID1028,3
JB_ID10741,C_ID1047,2
JB_ID10819,C_ID1012,7
JB_ID11280,C_ID1042,1
JB_ID10439,C_ID1019,2
JB_ID11014,C_ID1028,1
JB_ID10466,C_ID1015,1
JB_ID10590,C_ID1027,6
JB_ID11100,C_ID1020,5
JB_ID10495,C_ID1033,2
JB_ID10961,C_ID1029,6
JB_ID10107,C_ID1020,5
JB_ID10250,C_ID1020,4
JB_ID10302,C_ID1033,2
JB_ID10006,C_ID1032,6
JB_ID10030,C_ID1031,1
JB_ID10446,C_ID1016,4
JB_ID10980,C_ID1003,1
JB_ID10428,C_ID1029,1
JB_ID10095,C_ID1042,3
JB_ID11014,C_ID1009,6
JB_ID10345,C_ID1044,5
JB_ID11410,C_ID1023,1
JB_ID10324,C_ID1002,6
JB_ID10733,C_ID1024,4
JB_ID11455,C_ID1044,1
JB_ID10135,C_ID1038,5
JB_ID11012,C_ID1045,1
JB_ID10953,C_ID1017,4
JB_ID11238,C_ID1041,3
JB_ID10942,C_ID1042,6
JB_ID10217,C_ID1048,5
JB_ID10473,C_ID1039,2
JB_ID10833,C_ID1006,3
JB_ID10821,C_ID1019,2
JB_ID10590,C_ID1014,6
JB_ID11461,C_ID1047,4
JB_ID11428,C_ID1008,3
JB_ID11303,C_ID1019,4
JB_ID10424,C_ID1014,3
JB_ID10824,C_ID1031,1
JB_ID10752,C_ID1026,6
JB_ID11223,C_ID1041,3
JB_ID11005,C_ID1049,6
JB_ID11106,C_ID1013,6
JB_ID10966,C_ID1016,2
JB_ID10047,C_ID1019,6
JB_ID10724,C_ID1028,3
JB_ID10231,C_ID1043,6
JB_ID10562,C_ID1049,4
JB_ID10410,C_ID1013,2
JB_ID11433,C_ID1028,7
JB_ID10351,C_ID1022,6
JB_ID10080,C_ID1017,1
JB_ID10249,C_ID1025,1
JB_ID10277,C_ID1041,6
JB_ID10774,C_ID1037,3
JB_ID10731,C_ID1007,7
JB_ID11353,C_ID1039,2
JB_ID10691,C_ID1048,7
JB_ID10094,C_ID1022,5
JB_ID10738,C_ID1032,2
JB_ID10391,C_ID1012,5
JB_ID10739,C_ID1004,2
JB_ID10380,C_ID1025,2
JB_ID11175,C_ID1048,7
JB_ID11180,C_ID1010,1
JB_ID10833,C_ID1045,3
JB_ID11202,C_ID1014,7
JB_ID10611,C_ID1008,1
JB_ID11088,C_ID1032,4
JB_ID11069,C_ID1011,5
JB_ID10584,C_ID1012,4
JB_ID10276,C_ID1012,6
JB_ID10229,C_ID1005,3
JB_ID11486,C_ID1045,6
JB_ID10481,C_ID1028,3
JB_ID10875,C_ID1006,3
JB_ID10345,C_ID1041,6
JB_ID11428,C_ID1009,4
JB_ID11336,C_ID1009,3
JB_ID11387,C_ID1027,7
