vin,make,model,year,category
5J8TC2H72ML002632,Accura,RSX,2009,S
5J8TC2H72ML002633,Accura,MDX,1999,J
5J8TC2H72ML002634,Accura,TL,2015,F
5J8TC2H72ML002635,Accura,RSX,1996,S
JH4KB16608C000030,Accura,TL,2011,F
JH4KB16608C000031,Accura,MDX,2002,J
JH4KB16608C000032,Accura,MDX,2005,J
JH4KB16608C000033,Accura,TL,2005,F
JH4KB16608C000034,Accura,MDX,2011,J
JH4KB16608C000035,Accura,MDX,1997,J
JH4KB16608C000036,Accura,MDX,1995,J
JH4KB16608C000037,Accura,MDX,2012,J
JH4KB16608C000038,Accura,MDX,2011,J
JH4KB16608C000039,Accura,TL,2002,F
JH4KB16608C000040,Accura,RSX,2009,S
19VDE2E71FE427202,Accura,MDX,2006,J
19VDE2E71FE427203,Accura,MDX,2008,J
19VDE2E71FE427204,Accura,RSX,2010,S
19VDE2E71FE427205,Accura,MDX,2000,J
19VDE2E71FE427206,Accura,TL,2004,F
19VDE2E71FE427207,Accura,MDX,2008,J
19VDE2E71FE427208,Accura,TL,2006,F
19VDE2E71FE427209,Accura,TL,2001,F
19VDE2E71FE427210,Accura,MDX,1998,J
19VDE2E71FE427211,Accura,TL,2002,F
19VDE2E71FE427212,Accura,TL,2011,F
19VDE2E71FE427213,Accura,TL,2011,F
19VDE2E71FE427214,Accura,MDX,2015,J
19VDE2E71FE427215,Accura,MDX,1995,J
19VDE2E71FE427216,Accura,MDX,2006,J
JH4CU2E60BC012594,Accura,MDX,1999,J
JH4CU2E60BC012595,Accura,MDX,2002,J
JH4CU2E60BC012596,Accura,TL,1999,F
JH4CU2E60BC012597,Accura,MDX,2005,J
JH4CU2E60BC012598,Accura,RSX,2004,S
JH4CU2E60BC012599,Accura,MDX,2000,J
JH4CU2E60BC012600,Accura,MDX,2005,J
JH4CU2E60BC012601,Accura,TL,2008,F
JH4CU2E60BC012602,Accura,RSX,2001,S
JH4CU2E60BC012603,Accura,TL,2004,F
JH4CU2E60BC012604,Accura,MDX,1997,J
JH4CU2E60BC012605,Accura,RSX,2003,S
JH4CU2E60BC012606,Accura,MDX,2004,J
JH4CU2E60BC012607,Accura,MDX,2006,J
JH4CU2E60BC012608,Accura,TL,2000,F
JH4CU2E60BC012609,Accura,TL,2001,F
JH4CU2E60BC012610,Accura,MDX,1996,J
19UYA31581L000000,Accura,MDX,1995,J
19UYA31581L000001,Accura,TL,2000,F
19UYA31581L000002,Accura,MDX,2005,J
